################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
        68       1360   7.22125146E+01   5.00905440E-01   1.05565767E-16   1.50841500E-02   8.93365374E-07   1.12067347E+00
        69       1380   7.20443336E+01   4.99495835E-01   1.05992674E-16   2.85069512E-02   8.93365374E-07   1.12067347E+00
        70       1400   7.18864984E+01   4.98943408E-01   1.06402974E-16   5.13031223E-02   8.93365374E-07   1.12067347E+00
        71       1420   7.14853749E+01   4.97460628E-01   1.07398306E-16   3.78116829E-02   8.93365374E-07   1.12067347E+00
        72       1440   7.11422579E+01   4.96561864E-01   1.08226662E-16   3.26119599E-02   8.93365374E-07   1.12067347E+00
        73       1460   7.09179701E+01   4.95433358E-01   1.08810201E-16   4.58517282E-02   8.93365374E-07   1.12067347E+00
        74       1480   7.06579861E+01   4.93792295E-01   1.09460815E-16   6.34953831E-02   8.93365374E-07   1.12067347E+00
        75       1500   7.04282429E+01   4.92249302E-01   1.10014598E-16   4.03329462E-02   8.93365374E-07   1.12067347E+00
        76       1520   7.03628232E+01   4.92339208E-01   1.10151536E-16   5.49214697E-02   8.93365374E-07   1.12067347E+00
        77       1540   7.02540169E+01   4.92741103E-01   1.10438751E-16   2.43318801E-02   8.93365374E-07   1.12067347E+00
        78       1560   7.02061163E+01   4.92221212E-01   1.10561654E-16   2.96627574E-02   8.93365374E-07   1.12067347E+00
        79       1580   7.00489114E+01   4.91189712E-01   1.11001811E-16   6.77089099E-02   8.93365374E-07   1.12067347E+00
        80       1600   7.00005291E+01   4.90793034E-01   1.11107825E-16   1.91518799E-02   8.93365374E-07   1.12067347E+00
        81       1620   6.99685581E+01   4.90587594E-01   1.11201691E-16   4.54092419E-02   8.93365374E-07   1.12067347E+00
        82       1640   6.99416567E+01   4.90399955E-01   1.11257846E-16   1.58263237E-02   8.93365374E-07   1.12067347E+00
        83       1660   6.99257178E+01   4.90326348E-01   1.11297518E-16   1.69111370E-02   8.93365374E-07   1.12067347E+00
        84       1680   6.98568603E+01   4.90345716E-01   1.11489131E-16   4.75592929E-02   8.93365374E-07   1.12067347E+00
        85       1700   6.98337800E+01   4.90094593E-01   1.11537046E-16   0.00000000E+00   8.93365374E-07   1.12067347E+00
        86       1720   6.97544567E+01   4.88819991E-01   1.11739168E-16   3.61243494E-02   8.93365374E-07   1.12067347E+00
        87       1740   6.96946520E+01   4.88201431E-01   1.11872853E-16   2.80772655E-02   8.93365374E-07   1.12067347E+00
        88       1760   6.95686202E+01   4.86956112E-01   1.12198393E-16   3.34241625E-02   8.93365374E-07   1.12067347E+00
        89       1780   6.94920979E+01   4.85980555E-01   1.12381197E-16   0.00000000E+00   8.93365374E-07   1.12067347E+00
        90       1800   6.93391682E+01   4.84655371E-01   1.12715825E-16   3.60856892E-02   8.93365374E-07   1.12067347E+00
        91       1820   6.91967865E+01   4.84281632E-01   1.13077708E-16   7.67633424E-02   8.93365374E-07   1.12067347E+00
        92       1840   6.90058955E+01   4.82840328E-01   1.13519071E-16   2.47503581E-02   8.93365374E-07   1.12067347E+00
        93       1860   6.89536764E+01   4.82782666E-01   1.13659632E-16   4.56163180E-02   8.93365374E-07   1.12067347E+00
        94       1880   6.88948179E+01   4.82374372E-01   1.13830005E-16   2.10246408E-02   8.93365374E-07   1.12067347E+00
        95       1900   6.87618227E+01   4.81028331E-01   1.14155298E-16   6.00699861E-02   8.93365374E-07   1.12067347E+00
        96       1920   6.86435137E+01   4.80490729E-01   1.14438181E-16   3.07226832E-02   8.93365374E-07   1.12067347E+00
        97       1940   6.86067857E+01   4.80372022E-01   1.14545017E-16   1.75211661E-02   8.93365374E-07   1.12067347E+00
        98       1960   6.85840614E+01   4.80388595E-01   1.14596756E-16   2.54478512E-02   8.93365374E-07   1.12067347E+00
        99       1980   6.85685343E+01   4.80442135E-01   1.14626968E-16   1.21103311E-02   8.93365374E-07   1.12067347E+00
       100       2000   6.85570164E+01   4.80501648E-01   1.14653219E-16   9.28609209E-03   8.93365374E-07   1.12067347E+00
       101       2020   6.85480399E+01   4.80557943E-01   1.14674602E-16   1.37613603E-02   8.93365374E-07   1.12067347E+00
       102       2040   6.83335820E+01   4.79588912E-01   1.15167727E-16   3.73851729E-02   8.93365374E-07   1.12067347E+00
       103       2060   6.81936868E+01   4.79223634E-01   1.15509821E-16   2.24372385E-02   8.93365374E-07   1.12067347E+00
       104       2080   6.81029120E+01   4.79700739E-01   1.15729910E-16   2.58556210E-02   8.93365374E-07   1.12067347E+00
       105       2100   6.79665488E+01   4.78377196E-01   1.16075638E-16   2.56105894E-02   8.93365374E-07   1.12067347E+00
       106       2120   6.78719737E+01   4.77836497E-01   1.16281983E-16   1.78261784E-02   8.93365374E-07   1.12067347E+00
       107       2140   6.77425993E+01   4.76544779E-01   1.16596744E-16   6.44405087E-02   8.93365374E-07   1.12067347E+00
       108       2160   6.75782705E+01   4.75717270E-01   1.17010695E-16   7.71439379E-02   8.93365374E-07   1.12067347E+00
       109       2180   6.72822866E+01   4.74927891E-01   1.17708471E-16   6.17231181E-02   8.93365374E-07   1.12067347E+00
       110       2200   6.71845018E+01   4.74412262E-01   1.17910825E-16   3.99260653E-02   8.93365374E-07   1.12067347E+00
       111       2220   6.70728676E+01   4.74635293E-01   1.18161985E-16   3.08726991E-02   8.93365374E-07   1.12067347E+00
       112       2240   6.69826172E+01   4.75058307E-01   1.18380646E-16   2.37284015E-02   8.93365374E-07   1.12067347E+00
       113       2260   6.69622914E+01   4.75060375E-01   1.18433681E-16   2.40309374E-02   8.93365374E-07   1.12067347E+00
       114       2280   6.69134594E+01   4.74846763E-01   1.18539223E-16   2.08986308E-02   8.93365374E-07   1.12067347E+00
       115       2300   6.68376002E+01   4.74859652E-01   1.18715646E-16   4.12184459E-02   8.93365374E-07   1.12067347E+00
       116       2320   6.66921896E+01   4.73834393E-01   1.19037243E-16   7.65711763E-02   8.93365374E-07   1.12067347E+00
       117       2340   6.65569819E+01   4.72345486E-01   1.19337592E-16   5.75055383E-02   8.93365374E-07   1.12067347E+00
       118       2360   6.64648895E+01   4.72223246E-01   1.19545715E-16   2.09625351E-02   8.93365374E-07   1.12067347E+00
       119       2380   6.63806638E+01   4.72347003E-01   1.19734075E-16   1.55229824E-02   8.93365374E-07   1.12067347E+00
       120       2400   6.62528607E+01   4.70978560E-01   1.20023837E-16   2.36305403E-02   8.93365374E-07   1.12067347E+00
       121       2420   6.61623580E+01   4.71151339E-01   1.20209479E-16   2.69588409E-02   8.93365374E-07   1.12067347E+00
       122       2440   6.60498343E+01   4.70909750E-01   1.20451961E-16   2.86416782E-02   8.93365374E-07   1.12067347E+00
       123       2460   6.58961051E+01   4.69264968E-01   1.20794790E-16   6.40649268E-02   8.93365374E-07   1.12067347E+00
       124       2480   6.57849958E+01   4.68857647E-01   1.21045330E-16   3.53551218E-02   8.93365374E-07   1.12067347E+00
       125       2500   6.56299846E+01   4.67834582E-01   1.21406941E-16   2.34861586E-02   8.93365374E-07   1.12067347E+00
       126       2520   6.55080132E+01   4.66981839E-01   1.21696819E-16   6.29118295E-02   8.93365374E-07   1.12067347E+00
       127       2540   6.53922611E+01   4.66375950E-01   1.21924524E-16   5.25601000E-02   8.93365374E-07   1.12067347E+00
       128       2560   6.53034756E+01   4.65881086E-01   1.22116094E-16   2.83792683E-02   8.93365374E-07   1.12067347E+00
       129       2580   6.52453218E+01   4.65388841E-01   1.22248461E-16   2.82750176E-02   8.93365374E-07   1.12067347E+00
       130       2600   6.51857779E+01   4.65300408E-01   1.22392492E-16   5.42826199E-02   8.93365374E-07   1.12067347E+00
       131       2620   6.51059507E+01   4.64350265E-01   1.22557231E-16   2.02160186E-02   8.93365374E-07   1.12067347E+00
       132       2640   6.50708830E+01   4.63973382E-01   1.22634460E-16   3.85336221E-02   8.93365374E-07   1.12067347E+00
       133       2660   6.50481599E+01   4.63839920E-01   1.22681968E-16   2.60188118E-02   8.93365374E-07   1.12067347E+00
       134       2680   6.49975723E+01   4.63581255E-01   1.22791555E-16   5.68721652E-02   8.93365374E-07   1.12067347E+00
       135       2700   6.48815112E+01   4.62449889E-01   1.23040136E-16   6.07061784E-02   8.93365374E-07   1.12067347E+00
       136       2720   6.47840990E+01   4.62425977E-01   1.23257324E-16   1.82053648E-02   8.93365374E-07   1.12067347E+00
       137       2740   6.46979149E+01   4.62395785E-01   1.23457280E-16   1.53140024E-02   8.93365374E-07   1.12067347E+00
       138       2760   6.46358281E+01   4.62138162E-01   1.23589374E-16   2.48887178E-02   8.93365374E-07   1.12067347E+00
       139       2780   6.45882960E+01   4.61602416E-01   1.23681573E-16   3.30835657E-02   8.93365374E-07   1.12067347E+00
       140       2800   6.45649892E+01   4.61309099E-01   1.23733477E-16   2.60321305E-02   8.93365374E-07   1.12067347E+00
       141       2820   6.45480837E+01   4.61155895E-01   1.23777893E-16   1.13272033E-02   8.93365374E-07   1.12067347E+00
       142       2840   6.45006781E+01   4.60919121E-01   1.23866731E-16   1.36063236E-02   8.93365374E-07   1.12067347E+00
       143       2860   6.44851903E+01   4.60750748E-01   1.23903418E-16   2.00729708E-02   8.93365374E-07   1.12067347E+00
       144       2880   6.44293395E+01   4.60413762E-01   1.24013807E-16   1.49946686E-02   8.93365374E-07   1.12067347E+00
       145       2900   6.43726381E+01   4.59882161E-01   1.24156058E-16   3.19943985E-02   8.93365374E-07   1.12067347E+00
       146       2920   6.43192712E+01   4.59483748E-01   1.24294578E-16   3.46854569E-02   8.93365374E-07   1.12067347E+00
       147       2940   6.42863579E+01   4.59067520E-01   1.24371279E-16   1.63953157E-02   8.93365374E-07   1.12067347E+00
       148       2960   6.42485072E+01   4.58679275E-01   1.24458838E-16   6.08518914E-02   8.93365374E-07   1.12067347E+00
       149       2980   6.42130966E+01   4.58051958E-01   1.24536687E-16   3.13323815E-02   8.93365374E-07   1.12067347E+00
       150       3000   6.41597687E+01   4.57573867E-01   1.24646848E-16   2.98478116E-02   8.93365374E-07   1.12067347E+00
       151       3020   6.41156582E+01   4.57232382E-01   1.24729802E-16   5.91962254E-02   8.93365374E-07   1.12067347E+00
       152       3040   6.40886202E+01   4.56944848E-01   1.24780514E-16   2.02229101E-02   8.93365374E-07   1.12067347E+00
       153       3060   6.40250623E+01   4.56819073E-01   1.24914909E-16   5.46021918E-02   8.93365374E-07   1.12067347E+00
       154       3080   6.39247286E+01   4.55692170E-01   1.25115972E-16   5.23818190E-02   8.93365374E-07   1.12067347E+00
       155       3100   6.38594746E+01   4.55184295E-01   1.25246728E-16   2.62882450E-02   8.93365374E-07   1.12067347E+00
