################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
        75       5250   9.45249416E+01   2.99787630E-01   2.88341625E-17   1.01758179E-02   9.69916453E-07   1.03222383E+00
        76       5320   9.45127299E+01   2.99811229E-01   2.88870422E-17   0.00000000E+00   9.69916453E-07   1.03222383E+00
        77       5390   9.45060049E+01   2.99762600E-01   2.89101254E-17   4.07436272E-03   9.69916453E-07   1.03222383E+00
        78       5460   9.44491015E+01   3.00693024E-01   2.91521045E-17   1.45186541E-02   9.69916453E-07   1.03222383E+00
        79       5530   9.44138559E+01   3.00843268E-01   2.92931225E-17   6.31962943E-03   9.69916453E-07   1.03222383E+00
        80       5600   9.43549360E+01   3.01704735E-01   2.95315009E-17   1.52945191E-02   9.69916453E-07   1.03222383E+00
        81       5670   9.42849173E+01   3.02752224E-01   2.97946038E-17   8.74434245E-03   9.69916453E-07   1.03222383E+00
        82       5740   9.42473577E+01   3.02687202E-01   2.99457050E-17   9.63254585E-03   9.69916453E-07   1.03222383E+00
        83       5810   9.41940179E+01   3.03204341E-01   3.01807993E-17   1.23161438E-02   9.69916453E-07   1.03222383E+00
        84       5880   9.41248788E+01   3.03912858E-01   3.04631773E-17   1.17339661E-02   9.69916453E-07   1.03222383E+00
        85       5950   9.40768822E+01   3.04136527E-01   3.06447868E-17   8.30410762E-03   9.69916453E-07   1.03222383E+00
        86       6020   9.40460690E+01   3.04161600E-01   3.07545688E-17   5.30930173E-03   9.69916453E-07   1.03222383E+00
        87       6090   9.40140690E+01   3.04557476E-01   3.08548381E-17   4.90729635E-03   9.69916453E-07   1.03222383E+00
        88       6160   9.40085799E+01   3.04576623E-01   3.08712214E-17   4.28423115E-03   9.69916453E-07   1.03222383E+00
        89       6230   9.39704896E+01   3.04781155E-01   3.10029941E-17   5.83675544E-02   9.69916453E-07   1.03222383E+00
        90       6300   9.39512034E+01   3.04724452E-01   3.10721385E-17   6.37674101E-03   9.69916453E-07   1.03222383E+00
        91       6370   9.39419849E+01   3.04772817E-01   3.11082536E-17   4.92783475E-03   9.69916453E-07   1.03222383E+00
