################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
       111       2220   8.47521458E+01   4.57116659E-01   6.35872514E-17   1.06618217E-02   8.93365374E-07   1.12067347E+00
       112       2240   8.46674726E+01   4.58350989E-01   6.38687212E-17   1.43586945E-02   8.93365374E-07   1.12067347E+00
       113       2260   8.46629306E+01   4.58247317E-01   6.38835796E-17   1.24791718E-02   8.93365374E-07   1.12067347E+00
       114       2280   8.45942879E+01   4.58390879E-01   6.40742435E-17   6.89713156E-02   8.93365374E-07   1.12067347E+00
       115       2300   8.45073600E+01   4.58384204E-01   6.44170177E-17   1.68102239E-02   8.93365374E-07   1.12067347E+00
       116       2320   8.44320926E+01   4.59055361E-01   6.46506684E-17   2.31991242E-02   8.93365374E-07   1.12067347E+00
       117       2340   8.44229683E+01   4.58737092E-01   6.46829745E-17   1.29684342E-02   8.93365374E-07   1.12067347E+00
       118       2360   8.43401090E+01   4.59468132E-01   6.49786390E-17   1.85059598E-02   8.93365374E-07   1.12067347E+00
       119       2380   8.42492582E+01   4.60295926E-01   6.53085909E-17   1.73751954E-02   8.93365374E-07   1.12067347E+00
       120       2400   8.42379845E+01   4.60047517E-01   6.53416565E-17   1.17007955E-02   8.93365374E-07   1.12067347E+00
       121       2420   8.41579223E+01   4.60527990E-01   6.55617040E-17   1.77054154E-02   8.93365374E-07   1.12067347E+00
       122       2440   8.40760766E+01   4.60509852E-01   6.58401721E-17   1.58282781E-02   8.93365374E-07   1.12067347E+00
       123       2460   8.39941173E+01   4.61106803E-01   6.61030058E-17   1.40629848E-02   8.93365374E-07   1.12067347E+00
       124       2480   8.39006100E+01   4.61904743E-01   6.63738432E-17   1.22516629E-02   8.93365374E-07   1.12067347E+00
       125       2500   8.38179103E+01   4.62080308E-01   6.66327970E-17   1.66324581E-02   8.93365374E-07   1.12067347E+00
       126       2520   8.37439437E+01   4.62665613E-01   6.68685585E-17   1.57647160E-02   8.93365374E-07   1.12067347E+00
       127       2540   8.36393982E+01   4.63567547E-01   6.71995092E-17   3.17941185E-02   8.93365374E-07   1.12067347E+00
       128       2560   8.35392851E+01   4.64053845E-01   6.74890606E-17   2.04826822E-02   8.93365374E-07   1.12067347E+00
