################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         0         78   8.91481301E-02   6.30271571E-02
         0         78   5.56486316E-01   2.38092404E-02
         0         79   3.81135090E-01   3.66696745E-02
         0         79  -5.39881236E-02   1.18917543E-02
         0         79  -4.17722617E-01  -2.11855952E-02
         0         80   3.46642801E-02  -4.99243312E-02
         0         80  -5.30726173E-03  -5.10554456E-02
         0         80   3.05906189E-02   2.73905755E-02
         0         81  -1.07713759E+00   9.86762067E-03
         0         81  -8.88199196E-01  -6.55702447E-03
         0         81   1.92492006E-01  -2.46091031E-02
         0         82   3.34312623E-01   1.72635309E-02
         0         82   8.07366569E-02   4.33761356E-02
         0         82   1.63692689E-01  -2.51918146E-02
         0         83   9.38586933E-01  -1.49758758E-02
         0         83   8.33649336E-01  -2.78091909E-02
         0         83  -3.94756659E-02   5.23556028E-02
         0         84   2.34257353E-01  -5.65729819E-03
         0         84  -1.02582803E-01   7.45303444E-03
         0         84  -5.07344470E-03  -3.16613735E-02
         0         85   4.98130309E-01  -2.93877574E-02
         0         85  -7.11804553E-02   1.43264238E-02
         0         85  -4.58612392E-01   3.47999089E-02
         0         86  -6.41512184E-01   2.44407391E-02
         0         86   2.93191011E-01  -2.55991517E-02
         0         86   5.63706440E-01  -2.92061906E-02
         0         87  -4.34689313E-01   8.42023175E-03
         0         87   9.23546361E-01  -1.81522438E-03
         0         87   1.33786374E+00  -4.87004071E-02
         0         88   1.94527996E-01  -3.74131825E-02
         0         88  -6.15367189E-01   6.02051403E-02
         0         88  -1.05675408E+00   3.89654567E-02
         0         89   2.89982910E-01   4.03130880E-02
         0         89  -4.87265979E-01  -6.16045545E-02
         0         89  -1.19524955E-01  -3.35628104E-03
         0         90   1.26682043E+00  -3.11257072E-02
         0         90  -4.83794362E-01   5.85498622E-02
         0         90   2.07252551E-01  -3.25369782E-02
         0         91  -6.95142391E-01   6.81008026E-02
         0         91   6.15472648E-01   1.19973743E-02
         0         91   5.37430995E-02   2.26832750E-02
         0         92  -5.98530421E-01  -6.71761618E-02
         0         92  -4.14837803E-01  -6.56498872E-02
         0         92  -2.11466301E-01  -1.73314792E-02
         0         93   2.31930464E-01  -6.82696559E-03
         0         93  -6.22321107E-01   4.15985223E-02
         0         93   8.35922879E-01  -3.27337328E-04
         0         94  -2.85013579E-02   4.04609845E-02
         0         94  -2.27254124E-01   8.31245229E-04
         0         94  -3.99013108E-03  -5.46330835E-02
         0         95  -1.04421810E-01  -2.06504048E-02
         0         95   6.31342806E-01  -3.32565407E-02
         0         95  -6.98176595E-01   7.01726209E-02
         0         96   1.62354489E-01  -3.76082878E-02
         0         96   2.79340443E-01   1.56086282E-02
         0         96  -7.42881260E-01   4.91774593E-02
         0         97  -1.79825802E-02   3.76161731E-02
         0         97   3.89299746E-01   4.12903049E-02
         0         97   1.48194644E-01  -7.70396113E-02
         0         98  -9.62653351E-02   2.83484074E-02
         0         98  -5.26047553E-01  -6.03345094E-02
         0         98   4.19031865E-01   2.70528429E-02
         0         99  -2.76321182E-01   3.50607437E-02
         0         99  -2.34559085E-01  -3.47208955E-02
         0         99  -3.48509415E-01   4.31393240E-02
         0        100   2.39067655E-01   1.55340907E-02
         0        100  -1.62870388E-01   7.67930437E-02
         0        100   1.53958444E-01  -1.53679958E-02
         0        101   1.31117595E-01  -3.88221807E-02
         0        101   2.61797405E-01  -5.89934741E-02
         0        101   2.47952814E-01  -6.13029688E-04
         0        102  -2.90424282E-01  -1.81080842E-02
