################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
        85         85   1.00240377E+02   1.92200855E-04   4.30626613E-21   4.48848681E-04   3.22961575E-04   3.09634358E-02
        86         86   1.00240531E+02   2.00562486E-04   4.32969139E-21   5.25664526E-04   3.10178330E-04   3.22395185E-02
        87         87   1.00240804E+02   2.01847865E-04   4.41077592E-21   3.29132241E-04   2.97901062E-04   3.35681918E-02
        88         88   1.00240918E+02   2.11273918E-04   4.83001241E-21   5.82137308E-04   2.86109745E-04   3.49516232E-02
        89         89   1.00241009E+02   2.21208800E-04   5.18615268E-21   6.09679096E-04   2.74785143E-04   3.63920694E-02
        90         90   1.00241091E+02   2.30819472E-04   5.32041025E-21   6.11073050E-04   2.63908784E-04   3.78918800E-02
        91         91   1.00241154E+02   2.41257003E-04   5.58475484E-21   6.49175547E-04   2.53462926E-04   3.94535017E-02
        92         92   1.00241199E+02   2.52575881E-04   5.73816423E-21   6.89530895E-04   2.43430529E-04   4.10794819E-02
        93         93   1.00241239E+02   2.65757261E-04   6.13108598E-21   7.57957097E-04   2.33795227E-04   4.27724728E-02
        94         94   1.00241310E+02   2.72354414E-04   6.26129157E-21   5.54880652E-04   2.24541304E-04   4.45352363E-02
        95         95   1.00241298E+02   2.84526869E-04   6.42477463E-21   7.59967676E-04   2.15653662E-04   4.63706477E-02
        96         96   1.00241278E+02   2.97443905E-04   6.70080422E-21   7.98315403E-04   2.07117806E-04   4.82817012E-02
        97         97   1.00241293E+02   2.98289822E-04   7.07652200E-21   9.17827215E-04   1.98919809E-04   5.02715141E-02
        98         98   1.00241245E+02   3.10113197E-04   7.26001026E-21   7.96268994E-04   1.91046301E-04   5.23433323E-02
        99         99   1.00241173E+02   3.23898851E-04   7.42382142E-21   8.76692305E-04   1.83484436E-04   5.45005354E-02
       100        100   1.00241100E+02   3.38051155E-04   7.69284321E-21   9.05906537E-04   1.76221880E-04   5.67466425E-02
       101        101   1.00241060E+02   3.54982504E-04   8.34772638E-21   1.00924327E-03   1.69246785E-04   5.90853173E-02
       102        102   1.00241169E+02   3.57417514E-04   8.44944248E-21   5.41441996E-04   1.62547774E-04   6.15203750E-02
       103        103   1.00241048E+02   3.72788758E-04   8.56217389E-21   1.00305203E-03   1.56113918E-04   6.40557877E-02
       104        104   1.00240910E+02   3.89457671E-04   8.90627042E-21   1.06518909E-03   1.49934723E-04   6.66956912E-02
       105        105   1.00240797E+02   4.00683950E-04   9.20474621E-21   8.94663618E-04   1.44000109E-04   6.94443919E-02
       106        106   1.00240718E+02   4.10115769E-04   9.42382039E-21   8.41304841E-04   1.38300395E-04   7.23063736E-02
       107        107   1.00240539E+02   4.26671933E-04   1.00860237E-20   1.12847700E-03   1.32826282E-04   7.52863050E-02
       108        108   1.00240348E+02   4.44535348E-04   1.04020316E-20   1.19542827E-03   1.27568843E-04   7.83890470E-02
       109        109   1.00240184E+02   4.57163441E-04   1.09237968E-20   1.02838841E-03   1.22519499E-04   8.16196609E-02
       110        110   1.00239971E+02   4.70723448E-04   1.12660684E-20   1.08832741E-03   1.17670016E-04   8.49834167E-02
       111        111   1.00239725E+02   4.90714839E-04   1.18307706E-20   1.34346036E-03   1.13012481E-04   8.84858016E-02
