################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         2          7        688   6.60260209E-01   9.96318029E-01   8.25932922E-01   5.62609884E-02
         2          8        688   4.27017236E-02   1.54730523E-01   1.01983484E-01   1.90938982E-02
         2          9        688   5.97792390E-01   8.72141550E-01   7.10645244E-01   4.59918820E-02
         2         10        688   1.99853781E-01   6.56558972E-01   4.42712396E-01   7.35938498E-02
         2         11        688   4.15025635E-01   6.50575953E-01   5.28117558E-01   2.97335979E-02
         2         12        688   1.05390270E-01   4.73991886E-01   2.87787252E-01   6.72395613E-02
         2         13        688   2.49562021E-01   4.99522178E-01   3.66468241E-01   2.96725535E-02
         2         14        688   3.13006968E-02   3.16148436E-01   1.52494184E-01   5.47803053E-02
         2         15        688   6.32237002E-02   3.09948997E-01   1.51486251E-01   2.92923106E-02
         2         16        688   8.50416792E-04   1.30413460E-01   3.70681238E-02   2.43993912E-02
         2         17        688   4.43175198E-03   2.51440731E-02   1.38648447E-02   3.25283158E-03
         2         18        688   8.18609934E-05   1.34660451E-03   5.50840283E-04   2.34303011E-04
         2         19        688   7.90830374E-02   2.57967935E-01   1.76941238E-01   2.79395223E-02
         2         20        688   2.14410333E-03   1.47762624E-02   8.73394255E-03   2.11688600E-03
         2         21        688   1.38048913E-02   4.91947593E-02   2.88743879E-02   5.81658907E-03
         2         22        688   2.60514073E-02   1.04963561E-01   6.45650498E-02   1.27648369E-02
         2         23        688   2.90458269E-02   7.23807194E-02   4.53025661E-02   7.37468177E-03
         2         24        688   1.36075288E-03   1.09845968E-02   5.43543459E-03   1.61231791E-03
         2         25        688   1.65117056E-05   5.25011884E-04   1.89117183E-04   8.64087523E-05
         2         26        688   2.00722126E-02   7.66483288E-02   4.43789839E-02   8.77189115E-03
         2         27        688   1.08361324E-02   5.49806751E-02   3.05453385E-02   7.51676681E-03
         2         28        688   6.23513410E-05   1.44104613E-03   5.39910944E-04   2.25774011E-04
         2         29        688   8.48431706E-03   2.63682918E-02   1.53211538E-02   2.34051823E-03
